,county_year,eyewear_coverage_indicator,monthlyconsolidatedpremiumi,dental_coverage_indicator,hearing_aides_coverage_indicator,treated,untreated,excluded,persistent_treated,persistent_excluded,year,specialist_min_copay,county_encoded,Median_Household_Income,Total_Population,Percent_Hispanic,Percent_NonHispanic_Black,Percent_Unemployed,Percent_Female,Percent_Below_Poverty,Percent_HS,Percent_College
10,01000_2017,0.5454545454545454,55.36363636363637,0.7272727272727273,0.36363636363636365,1.0,0.0,0.0,1.0,0.0,2017.0,25.454545454545453,4.0,55317.0,55036.0,2.665528018024566,18.931245003270586,5.205220946689731,51.12471836616032,13.715678727226072,87.7003019832957,24.963952444432348
11,01000_2018,0.7692307692307693,45.38461538461539,0.8461538461538461,0.46153846153846156,1.0,0.0,0.0,1.0,0.0,2018.0,34.61538461538461,4.0,58786.0,55200.0,2.7681159420289854,18.97644927536232,4.228036047481043,51.315217391304344,15.378435131927326,88.68858634235592,27.68928590647366
12,01000_2019,0.875,34.5,1.0,0.5625,1.0,0.0,0.0,1.0,0.0,2019.0,31.875,4.0,58731.0,55380.0,2.825929938605995,19.003250270855904,3.6766438840443083,51.365113759479954,15.1851716980445,88.51660556105655,26.571573848582975
13,01010_2007,0.6666666666666666,48.86666666666667,0.2222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,1.0,2007.0,22.941176470588236,13.0,46251.0,167421.0,2.5068539788915367,10.060864527150118,4.422034539266355,50.974489460700866,11.412839822548866,87.19612014251823,26.321226287084944
14,01010_2008,0.5625,27.71875,0.28125,0.28125,0.0,0.0,0.0,0.0,1.0,2008.0,28.166666666666668,13.0,50626.0,171447.0,2.7122084375929587,9.557472571698543,4.219725947804194,50.772541951740195,10.347473030710761,87.70176199097331,27.16848985558984
15,01010_2009,0.5454545454545454,34.696969696969695,0.5454545454545454,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,2009.0,28.06451612903226,13.0,48918.0,171997.0,2.9006319877672286,9.797263905765798,5.542890403317731,51.00902922725397,11.92493733008509,87.46131466880297,26.627313741198293
16,01010_2010,0.42857142857142855,57.125,0.5,0.17857142857142858,0.0,0.0,0.0,0.0,1.0,2010.0,31.296296296296298,13.0,50147.0,175791.0,3.895535038767627,9.379319760397289,3.280258945890305,51.134017099851526,12.210225833928037,87.57568279039158,26.8221454425798
17,01010_2011,0.5833333333333334,27.916666666666668,0.6666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,2011.0,23.636363636363637,13.0,51321.0,179523.0,4.141530611676498,9.421076965068542,7.657574427789453,51.23020448633323,12.467343403508574,87.87143431096825,27.21494576134994
18,01010_2012,0.5333333333333333,29.666666666666668,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,1.0,2012.0,26.785714285714285,13.0,50706.0,183226.0,4.31980177485728,9.235588835645595,8.48179006073743,51.27874864920917,13.26297176327568,88.37755655255322,27.741590778731997
19,01010_2013,0.5333333333333333,33.96666666666667,0.6666666666666666,0.06666666666666667,1.0,0.0,0.0,1.0,1.0,2013.0,26.785714285714285,13.0,50221.0,187114.0,4.447556035358124,9.428476757484743,9.221892442633116,51.14582553951066,13.940722695899312,89.07529428046408,27.745784735089916
